email,firstName,lastName,teamId
susan.clark@tak.nz,Susan,Clark,5781
christopher.king@tak.nz,Christopher,King,5782
betty.green@tak.nz,Betty,Green,5783
paul.mitchell@tak.nz,Paul,Mitchell,5784
carol.diaz@tak.nz,Carol,Diaz,5785
timothy.morris@tak.nz,Timothy,Morris,5786
laura.morgan@tak.nz,Laura,Morgan,5787
gary.ramos@tak.nz,Gary,Ramos,5788
anna.chavez@tak.nz,Anna,Chavez,5789
scott.hughes@tak.nz,Scott,Hughes,5790
christine.long@tak.nz,Christine,Long,5791
patrick.russell@tak.nz,Patrick,Russell,5792
maria.gonzales@tak.nz,Maria,Gonzales,5793
jose.alexander@tak.nz,Jose,Alexander,5794
olivia.west@tak.nz,Olivia,West,5795
kyle.stevens@tak.nz,Kyle,Stevens,5796
megan.ruiz@tak.nz,Megan,Ruiz,5797
roger.stevenson@tak.nz,Roger,Stevenson,5798
teresa.olsen@tak.nz,Teresa,Olsen,5799
dylan.duncan@tak.nz,Dylan,Duncan,5800
theresa.fletcher@tak.nz,Theresa,Fletcher,5801
bruce.pearce@tak.nz,Bruce,Pearce,5802
rose.osborne@tak.nz,Rose,Osborne,5803
willie.kirk@tak.nz,Willie,Kirk,5804
alexis.winslow@tak.nz,Alexis,Winslow,5805
ralph.johnson@tak.nz,Ralph,Johnson,5806
isabella.rodriguez@tak.nz,Isabella,Rodriguez,5807
louis.thomas@tak.nz,Louis,Thomas,5808
jasmine.thompson@tak.nz,Jasmine,Thompson,5809
marcus.robinson@tak.nz,Marcus,Robinson,5810
patricia.torres@tak.nz,Patricia,Torres,5811
david.baker@tak.nz,David,Baker,5812
sarah.gomez@tak.nz,Sarah,Gomez,5813
matthew.edwards@tak.nz,Matthew,Edwards,5814
ashley.cook@tak.nz,Ashley,Cook,5815
joshua.bailey@tak.nz,Joshua,Bailey,5816
melissa.ward@tak.nz,Melissa,Ward,5817
edward.bennett@tak.nz,Edward,Bennett,5818
kathleen.castillo@tak.nz,Kathleen,Castillo,5819
eric.jimenez@tak.nz,Eric,Jimenez,5820
pamela.coleman@tak.nz,Pamela,Coleman,5821
benjamin.simmons@tak.nz,Benjamin,Simmons,5822
rachel.reynolds@tak.nz,Rachel,Reynolds,5823
jack.chapman@tak.nz,Jack,Chapman,5824
diane.marshall@tak.nz,Diane,Marshall,5825
nathan.warren@tak.nz,Nathan,Warren,5826
christina.larsen@tak.nz,Christina,Larsen,5827
walter.cameron@tak.nz,Walter,Cameron,5828
cheryl.grant@tak.nz,Cheryl,Grant,5829
austin.chambers@tak.nz,Austin,Chambers,5830
janice.nolan@tak.nz,Janice,Nolan,5831
lawrence.lawson@tak.nz,Lawrence,Lawson,5832
beverly.blackwood@tak.nz,Beverly,Blackwood,5833
joe.sutherland@tak.nz,Joe,Sutherland,5834
diana.jones@tak.nz,Diana,Jones,5835
wayne.lopez@tak.nz,Wayne,Lopez,5836
kayla.jackson@tak.nz,Kayla,Jackson,5837
russell.sanchez@tak.nz,Russell,Sanchez,5838
ava.allen@tak.nz,Ava,Allen,5839
lee.flores@tak.nz,Lee,Flores,5840
kylie.campbell@tak.nz,Kylie,Campbell,5841
james.turner@tak.nz,James,Turner,5842
linda.stewart@tak.nz,Linda,Stewart,5843
joseph.ortiz@tak.nz,Joseph,Ortiz,5844
nancy.howard@tak.nz,Nancy,Howard,5845
mark.brooks@tak.nz,Mark,Brooks,5846
emily.ruiz@tak.nz,Emily,Ruiz,5847
kevin.myers@tak.nz,Kevin,Myers,5848
stephanie.perry@tak.nz,Stephanie,Perry,5849
